"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",47259493
"ADC","ACDC METALS LTD","Materials","17/01/2023",7230513
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",9351470
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",4804401
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",389364710
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",121300566
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",69697910
"ADR","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015",14989315
"ADS","ADSLOT LTD.","Software & Services","17/12/1987",8817394
"ADT","ADRIATIC METALS PLC","Materials","01/05/2018",903056677
"ADV","ARDIDEN LTD","Materials","25/10/2005",18818347
"ADX","ADX ENERGY LTD","Energy","29/01/1987",21207748
"ADY","ADMIRALTY RESOURCES NL.","Materials","01/12/1983",7821475
"AE1","AERISON GROUP LTD","Capital Goods","12/07/2021","SUSPENDED"
"AEE","AURA ENERGY LIMITED","Energy","30/05/2006",110313286
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","Financial Services","17/12/2002",334962694
"AEI","AERIS ENVIRONMENTAL LTD","Commercial & Professional Services","12/09/2000",6878047
"AER","AEERIS LTD","Media & Entertainment","01/04/2015",8232144
"AEV","AVENIRA LIMITED","Materials","10/10/2006",24435608
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",41997362
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",444574923
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8843685625
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",12177020
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",335572032
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010",1922448
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",5600000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",24492454
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",112354726
"AGG","ANGLOGOLD ASHANTI LIMITED","Materials","16/11/1999",13918871665
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",17954126
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",360369504
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",5967267957
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",35203511
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",13883336
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",737313936
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",33440869
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",12947342
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",17274749
"AHK","ARK MINES LIMITED","Materials","09/05/2011",13830873
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",80653485
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",3211403
"AHQ","ALLEGIANCE COAL LIMITED","Materials","29/05/2012","SUSPENDED"
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",90002723
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",12266350971
"AIB","AURORA GLOBAL INCOME TRUST","Not Applic","24/12/2007","SUSPENDED"
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",156118126
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",54144774
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",41635425
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",352382253
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",4741057
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",2442136629
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","Health Care Equipment & Services","19/03/2007","SUSPENDED"
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",27514593
"AJQ","ARMOUR ENERGY LIMITED","Energy","26/04/2012",19685368
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",11073626
"AJY","ASAPLUS RESOURCES LIMITED","Materials","16/11/2012",2720000
"AKE","ALLKEM LIMITED","Materials","04/12/2007",9947466142
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","Consumer Services","01/06/1977",46415063
"AKM","ASPIRE MINING LIMITED","Materials","06/02/2007",26904760
"AKN","AUKING MINING LIMITED","Materials","29/10/2007",11838015
"AKO","AKORA RESOURCES LIMITED","Materials","15/12/2020",12272336
"AKON","AKORA RESOURCES LIMITED","Materials","15/12/2020",12272336
"AKP","AUDIO PIXELS HOLDINGS LIMITED","Consumer Durables & Apparel","24/12/2004",258498204
"AL3","AML3D LIMITED","Capital Goods","20/04/2020",15999424
"AL8","ALDERAN RESOURCES LIMITED","Materials","09/06/2017",4316863
"ALA","AROVELLA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2002",45527854
"ALB","ALBION RESOURCES LIMITED","Materials","30/04/2021",4699200
"ALC","ALCIDION GROUP LIMITED","Health Care Equipment & Services","24/06/2011",133147251
"ALD","AMPOL LIMITED","Energy","31/12/1980",7377832985
"ALG","ARDENT LEISURE GROUP LIMITED","Consumer Services","30/11/2018",247048598
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","Not Applic","03/07/2015",387803130
"ALK","ALKANE RESOURCES LIMITED","Materials","07/10/1980",476040111
"ALL","ARISTOCRAT LEISURE LIMITED","Consumer Services","09/07/1996",25246826451
"ALM","ALMA METALS LIMITED","Energy","18/04/2007",10054009
"ALO","ALLOGGIO GROUP LIMITED","Consumer Services","29/11/2021",34124104
"ALQ","ALS LIMITED","Commercial & Professional Services","18/07/1952",6008520958
"ALT","ANALYTICA LIMITED","Health Care Equipment & Services","25/10/2000","SUSPENDED"
"ALU","ALTIUM LIMITED","Software & Services","04/08/1999",4861727366
"ALV","ALVO MINERALS LIMITED","Materials","20/10/2021",10196244
"ALX","ATLAS ARTERIA","Transportation","25/01/2010",9459435770
"ALY","ALCHEMY RESOURCES LIMITED","Materials","26/11/2007",21205373
"AM7","ARCADIA MINERALS LIMITED","Materials","25/06/2021",15390018
"AMA","AMA GROUP LIMITED","Commercial & Professional Services","31/08/2006",150229830
"AMC","AMCOR PLC","Materials","28/08/1969",22719092287
"AMD","ARROW MINERALS LTD","Materials","28/10/2005",12095060
"AME","ALTO METALS LIMITED","Materials","20/12/2012",37381744
"AMH","AMCIL LIMITED","Not Applic","10/02/2000",318124957
"AMI","AURELIA METALS LIMITED","Materials","08/05/2007",142305280
"AML","AEON METALS LIMITED.","Materials","14/06/2007",21099512
"AMM","ARMADA METALS LIMITED","Materials","15/12/2021",3224000
"AMN","AGRIMIN LIMITED","Materials","09/10/2007",60554022
"AMO","AMBERTECH LIMITED","Technology Hardware & Equipment","10/12/2004",21912532
"AMP","AMP LIMITED","Financial Services","15/06/1998",3193662685
"AMS","ATOMOS LIMITED","Consumer Durables & Apparel","28/12/2018","SUSPENDED"
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","Health Care Equipment & Services","05/12/2007",7312144
"AMX","AEROMETREX LIMITED","Commercial & Professional Services","10/12/2019",31291180
"AN1","ANAGENICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/12/2005",8043639
"AND","ANSARADA GROUP LIMITED","Software & Services","14/02/2020",96482413
"ANG","AUSTIN ENGINEERING LIMITED","Capital Goods","09/03/2004",163335084
"ANL","AMANI GOLD LIMITED","Materials","14/12/2006",25143441
"ANN","ANSELL LIMITED","Health Care Equipment & Services","22/08/1985",3415759823
"ANO","ADVANCE ZINCTEK LIMITED","Materials","24/02/2005",122931686
"ANP","ANTISENSE THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2001",44174759
"ANR","ANATARA LIFESCIENCES LTD","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2014",3597720
"ANX","ANAX METALS LIMITED","Materials","15/06/2004",29885822
"ANZ","ANZ GROUP HOLDINGS LIMITED","Banks","30/09/1969",71990701765
"AO1","ASSETOWL LIMITED","Software & Services","30/05/2011",1947130
"AOA","AUSMON RESOURCES LIMITED","Materials","31/03/2009",4134357
"AOF","AUSTRALIAN UNITY OFFICE FUND","Equity Real Estate Investment Trusts (REITs)","20/06/2016",248218990
"AON","APOLLO MINERALS LIMITED","Materials","31/10/2007",18430402
"APA","APA GROUP","Utilities","13/06/2000",12034917250
"APC","AUSTRALIAN POTASH LIMITED","Materials","20/12/2011",12464149
"APE","EAGERS AUTOMOTIVE LIMITED","Consumer Discretionary Distribution & Retail","17/04/1957",3509169880
"APG","AUSTPAC RESOURCES NL","Materials","24/07/1986","SUSPENDED"
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","Financial Services","30/09/2004",15010475
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","Commercial & Professional Services","12/11/2021",1696786600
"APS","ALLUP SILICA LIMITED","Materials","02/05/2022",4225583
"APW","AIMS PROPERTY SECURITIES FUND","Equity Real Estate Investment Trusts (REITs)","17/12/2004",54535877
"APX","APPEN LIMITED","Software & Services","07/01/2015",300852128
"APZ","ASPEN GROUP","Equity Real Estate Investment Trusts (REITs)","11/04/1991",337312020
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","Materials","17/12/1999",60779417
"AQD","AUSQUEST LIMITED","Materials","25/11/2003",14027537
"AQI","ALICANTO MINERALS LIMITED","Materials","19/09/2012",21613472
"AQN","AQUIRIAN LIMITED","Commercial & Professional Services","27/07/2021",17723591
"AQS","AQUIS ENTERTAINMENT LIMITED","Consumer Services","02/12/2011",33325389
"AQX","ALICE QUEEN LIMITED","Materials","09/09/2004",2530288
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","Transportation","20/12/2011",490240826
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","Materials","03/11/2021",142334773
"AR3","AUSTRALIAN RARE EARTHS LIMITED","Materials","01/07/2021",52878864
"AR9","ARCHTIS LIMITED","Software & Services","21/09/2018",20833081
"ARA","ARIADNE AUSTRALIA LIMITED","Commercial & Professional Services","12/10/1982",117698449
"ARB","ARB CORPORATION LIMITED.","Automobiles & Components","26/06/1987",2554109192
"ARC","ARC FUNDS LIMITED","Financial Services","14/04/2000",6616797
"ARD","ARGENT MINERALS LIMITED","Materials","03/04/2008",10588331
"ARE","ARGONAUT RESOURCES NL","Materials","23/01/1986",12723743
"ARF","ARENA REIT.","Equity Real Estate Investment Trusts (REITs)","13/06/2013",1280073524
"ARG","ARGO INVESTMENTS LIMITED","Not Applic","31/03/1963",6580963459
"ARL","ARDEA RESOURCES LIMITED","Materials","09/02/2017",65171053
"ARN","ALDORO RESOURCES LIMITED","Materials","13/09/2018",17475087
"ARO","ASTRO RESOURCES NL","Materials","14/08/1986",16806448
"ARR","AMERICAN RARE EARTHS LIMITED","Materials","17/02/2011",80554194
"ART","AIRTASKER LIMITED","Media & Entertainment","23/03/2021",80932181
"ARU","ARAFURA RARE EARTHS LTD","Materials","05/11/2003",845345877
"ARV","ARTEMIS RESOURCES LIMITED","Materials","16/03/2007",19517730
"ARX","AROA BIOSURGERY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/07/2020",329385089
"AS2","ASKARI METALS LIMITED","Materials","07/07/2021",24526706
"ASB","AUSTAL LIMITED","Capital Goods","08/12/1998",728508169
"ASG","AUTOSPORTS GROUP LIMITED.","Consumer Discretionary Distribution & Retail","16/11/2016",442200000
"ASH","ASHLEY SERVICES GROUP LIMITED","Commercial & Professional Services","21/08/2014",100783133
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","Materials","30/07/2020",188376907
"ASN","ANSON RESOURCES LIMITED","Materials","08/07/2010",256943527
"ASO","ASTON MINERALS LIMITED","Materials","04/03/2011",99211053
"ASP","ASPERMONT LIMITED.","Media & Entertainment","27/04/2000",41328481
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","Materials","22/10/2007",11266415
"ASR","ASRA MINERALS LIMITED","Materials","30/06/1986",16138305
"ASW","ADVANCED SHARE REGISTRY LIMITED","Financial Services","10/06/2008",27077089
"ASX","ASX LIMITED","Financial Services","14/10/1998",13143175548
"AT1","ATOMO DIAGNOSTICS LIMITED","Health Care Equipment & Services","16/04/2020",17697621
"ATA","ATTURRA LIMITED","Software & Services","22/12/2021",197646200
"ATC","ALTECH BATTERIES LTD","Materials","27/01/2010",134115992
"ATH","ALTERITY THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/03/2000",15859335
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","Materials","09/08/1999",5528575083
"ATP","ATLAS PEARLS LTD","Consumer Durables & Apparel","31/12/1993",14975512
"ATR","ASTRON CORPORATION LIMITED","Materials","11/11/1983",68125277
"ATS","AUSTRALIS OIL & GAS LIMITED","Energy","25/07/2016",42880673
"ATU","ATRUM COAL LIMITED","Materials","24/07/2012","SUSPENDED"
"ATV","ACTIVEPORT GROUP LTD","Software & Services","20/10/2021",38616172
"ATX","AMPLIA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/12/2013",16490471
"AU1","THE AGENCY GROUP AUSTRALIA LTD","Real Estate Management & Development","18/12/2007",12000144
"AUA","AUDEARA LIMITED","Consumer Durables & Apparel","18/05/2021",6018600
"AUB","AUB GROUP LIMITED","Insurance","16/11/2005",2779905583
"AUC","AUSGOLD LIMITED","Materials","16/12/2009",110877163
"AUE","AURUM RESOURCES LIMITED","Materials","02/11/2021",2640000
"AUH","AUSTCHINA HOLDINGS LIMITED","Energy","17/03/2003",10389418
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","Not Applic","01/01/1974",1210203205
"AUK","AUMAKE LIMITED.","Consumer Discretionary Distribution & Retail","07/12/2011",4207121
"AUN","AURUMIN LIMITED","Materials","09/12/2020",5734988
"AUNND","AURUMIN LIMITED","Materials","09/12/2020",5734988
"AUQ","ALARA RESOURCES LIMITED","Materials","24/05/2007",24414976
"AUR","AURIS MINERALS LIMITED","Materials","15/03/2001",6196137
"AUT","AUTECO MINERALS LTD","Materials","21/09/2005",87887779
"AUZ","AUSTRALIAN MINES LIMITED","Materials","28/09/2001",12186152
"AV1","ADVERITAS LIMITED","Software & Services","18/12/2012",25069679
"AVA","AVA RISK GROUP LIMITED","Technology Hardware & Equipment","11/05/2015",54914146
"AVC","AUCTUS INVESTMENT GROUP LIMITED","Financial Services","10/08/2011",69877109
"AVD","AVADA GROUP LIMITED","Commercial & Professional Services","17/12/2021",51287851
"AVE","AVECHO BIOTECHNOLOGY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/08/1993",10810796
"AVG","AUSTRALIAN VINTAGE LTD","Food, Beverage & Tobacco","26/03/1992",126319243
"AVH","AVITA MEDICAL INC.","Pharmaceuticals, Biotechnology & Life Sciences","24/06/2020",433104713
"AVJ","AVJENNINGS LIMITED","Consumer Durables & Apparel","27/01/1994",172615219
"AVL","AUSTRALIAN VANADIUM LIMITED","Materials","21/02/2007",161486508
"AVM","ADVANCE METALS LIMITED","Materials","20/12/2007",4074308
"AVR","ANTERIS TECHNOLOGIES LTD","Health Care Equipment & Services","24/03/2004",356121696
"AVW","AVIRA RESOURCES LTD","Materials","09/01/2013",6401370
"AVZ","AVZ MINERALS LIMITED","Materials","14/09/2007","SUSPENDED"
"AW1","AMERICAN WEST METALS LIMITED","Materials","13/12/2021",22340508
"AWC","ALUMINA LIMITED","Materials","31/10/1961",4076862391
"AWJ","AURIC MINING LIMITED","Materials","12/02/2021",5888682
"AX1","ACCENT GROUP LIMITED","Consumer Discretionary Distribution & Retail","07/07/2004",1331428499
"AX8","ACCELERATE RESOURCES LIMITED","Materials","14/02/2018",6796832
"AXE","ARCHER MATERIALS LIMITED","Semiconductors & Semiconductor Equipment","14/08/2007",98116100
"AXI","AXIOM PROPERTIES LIMITED","Real Estate Management & Development","31/01/1997",19472115
"AXN","ALLIANCE NICKEL LIMITED","Materials","21/08/1980",74876160
"AXP","AXP ENERGY LIMITED","Energy","20/07/2006",11649361
"AYA","ARTRYA LIMITED","Health Care Equipment & Services","26/11/2021",17640898
"AYI","A1 INVESTMENTS & RESOURCES LTD","Financial Services","02/10/2007",20527433
"AYM","AUSTRALIA UNITED MINING LIMITED","Materials","19/09/2011",5527732
"AYT","AUSTIN METALS LIMITED","Materials","06/07/2011",5079373
"AZI","ALTAMIN LIMITED","Materials","24/12/2009",27811889
"AZJ","AURIZON HOLDINGS LIMITED","Transportation","22/11/2010",6497685056
"AZL","ARIZONA LITHIUM LIMITED","Materials","08/07/1971",126475388
"AZS","AZURE MINERALS LIMITED","Materials","16/12/2003",193166856
"AZY","ANTIPA MINERALS LIMITED","Materials","20/04/2011",61130418
"B4P","BEFOREPAY GROUP LIMITED","Financial Services","17/01/2022",23704740
"BAP","BAPCOR LIMITED","Consumer Discretionary Distribution & Retail","24/04/2014",2131510500
"BAS","BASS OIL LIMITED","Energy","30/09/2004",26034260
"BAT","BATTERY MINERALS LIMITED","Materials","29/10/2012",10070827
"BBC","BNK BANKING CORPORATION LIMITED","Banks","22/05/2012",55798120
"BBL","BRISBANE BRONCOS LIMITED","Media & Entertainment","12/05/1989",100001445
"BBN","BABY BUNTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","14/10/2015",284652692
"BBT","BLUEBET HOLDINGS LTD","Consumer Services","02/07/2021",48048295
"BBX","BBX MINERALS LIMITED","Materials","12/08/2005",35580806
"BC8","BLACK CAT SYNDICATE LIMITED","Materials","30/01/2018",103960137
"BCA","BLACK CANYON LIMITED","Materials","05/05/2021",12928952
"BCB","BOWEN COKING COAL LIMITED","Materials","22/06/1995",386792323
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","Technology Hardware & Equipment","06/11/1986",15555946
"BCI","BCI MINERALS LIMITED","Materials","15/12/2006",278640494
"BCK","BROCKMAN MINING LIMITED","Materials","11/01/2011",306247660
"BCN","BEACON MINERALS LIMITED","Materials","20/10/2006",116459813
"BCT","BLUECHIIP LIMITED","Technology Hardware & Equipment","09/06/2011",17746659
"BDG","BLACK DRAGON GOLD CORP.","Materials","29/08/2018",9030152
"BDM","BURGUNDY DIAMOND MINES LIMITED","Materials","04/01/2013","SUSPENDED"
"BDT","BIRDDOG TECHNOLOGY LIMITED","Technology Hardware & Equipment","20/12/2021",25306785
"BDX","BCAL DIAGNOSTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/07/2021",18818497
"BEE","BROO LTD","Food, Beverage & Tobacco","14/10/2016","SUSPENDED"
"BEL","BENTLEY CAPITAL LIMITED","Not Applic","07/11/1986",3806396
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","Banks","19/12/1985",4961196127
"BET","BETMAKERS TECHNOLOGY GROUP LTD","Consumer Services","11/12/2015",136813532
"BEX","BIKEEXCHANGE LIMITED","Consumer Discretionary Distribution & Retail","09/02/2021",11209835
"BEZ","BESRA GOLD INC.","Materials","08/10/2021",109129231
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","Food, Beverage & Tobacco","28/08/2015",21967516
"BFG","BELL FINANCIAL GROUP LIMITED","Financial Services","12/12/2007",304706751
"BFL","BSP FINANCIAL GROUP LIMITED","Banks","25/05/2021",2242655899
"BGA","BEGA CHEESE LIMITED","Food, Beverage & Tobacco","19/08/2011",1131802486
"BGD","BARTON GOLD HOLDINGS LIMITED","Materials","28/06/2021",47517460
"BGE","BRIDGE SAAS LIMITED","Software & Services","06/10/2022",2434637
"BGL","BELLEVUE GOLD LIMITED","Materials","20/12/2005",1418199860
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","Consumer Discretionary Distribution & Retail","20/07/2017",975714108
"BGT","BIO-GENE TECHNOLOGY LTD","Materials","29/11/2017",21243998
"BHD","BENJAMIN HORNIGOLD LIMITED","Not Applic","12/05/2017",5193377
"BHP","BHP GROUP LIMITED","Materials","13/08/1885",223706635753
"BIM","BINDI METALS LIMITED","Materials","28/06/2022",6113250
"BIO","BIOME AUSTRALIA LIMITED","Household & Personal Products","30/11/2021",14732316
"BIR","BIR FINANCIAL LIMITED","Financial Services","31/07/2006",17195153
"BIS","BISALLOY STEEL GROUP LIMITED","Materials","23/06/2003",89206105
"BIT","BIOTRON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2001",25254457
"BKG","BOOKTOPIA GROUP LIMITED","Consumer Discretionary Distribution & Retail","03/12/2020",28158656
"BKI","BKI INVESTMENT COMPANY LIMITED","Not Applic","12/12/2003",1365826225
"BKL","BLACKMORES LIMITED","Household & Personal Products","02/05/1985",1833222349
"BKT","BLACK ROCK MINING LIMITED","Materials","10/12/2003",123256140
"BKW","BRICKWORKS LIMITED","Materials","30/06/1962",3856358124
"BKY","BERKELEY ENERGIA LIMITED","Energy","16/09/2003",171631735
"BLD","BORAL LIMITED.","Materials","21/02/2000",4445446329
"BLG","BLUGLASS LIMITED","Semiconductors & Semiconductor Equipment","22/09/2006",74874237
"BLU","BLUE ENERGY LIMITED.","Energy","13/10/1994",59225457
"BLX","BEACON LIGHTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","15/04/2014",386305617
"BLY","BOART LONGYEAR GROUP LTD","Materials","05/04/2007",565207991
"BLZ","BLAZE MINERALS LIMITED","Energy","12/09/1996",3675082
"BM8","BATTERY AGE MINERALS LTD","Materials","04/11/2020",29632100
"BME","BLACK MOUNTAIN ENERGY LTD","Energy","23/12/2021",7281260
"BMG","BMG RESOURCES LIMITED","Materials","12/05/2004",6077364
"BMH","BAUMART HOLDINGS LIMITED","Capital Goods","19/06/2015",17369371
"BML","BOAB METALS LIMITED","Materials","15/07/2004",34020240
"BMM","BALKAN MINING AND MINERALS LIMITED","Materials","14/07/2021",15268004
"BMN","BANNERMAN ENERGY LTD","Energy","28/04/2005",204694498
"BMO","BASTION MINERALS LIMITED","Materials","16/03/2021",5579405
"BMR","BALLYMORE RESOURCES LIMITED","Materials","03/09/2021",20467617
"BMT","BEAMTREE HOLDINGS LIMITED","Health Care Equipment & Services","06/06/2019",68814231
"BNL","BLUE STAR HELIUM LIMITED","Energy","24/11/1994",43619677
"BNO","BIONOMICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/12/1999",33780915
